a;b;c;d;e;t
274.11; 221.51; 60.13; 9391091.75; 5; -3533103087626.17
255.08; 722.23; 76.85; 3251899.71; 2; -3385381693153.47
165.45; -21.21; 14.90; 1368712.85; 2; -490055717223.39
149.32; 404.21; 67.02; 2228052.21; 4; -318189913374.73
267.94; 566.63; 63.89; 3588591.06; 2; -2688203201809.66
73.77; -349.21; 12.57; 682061.46; 5; 5252358714677.76
150.71; -59.66; 3.36; 567893.18; 1; -347041522274.15
260.96; -24.42; 22.96; 5107682.59; 3; -2763754226541.43
233.64; -491.90; 0.68; 6826052.48; 5; -1917351154461.13
211.68; 71.66; 39.30; 4480369.97; 4; -1233796666622.20
253.73; 804.50; 75.38; 1608701.35; 1; -2816139094257.61
230.93; 433.28; 69.44; 5331163.97; 4; -1848395964409.45
80.43; 269.92; 39.16; 322886.00; 2; -26720248681.25
154.38; -60.88; 28.26; 2383524.93; 4; -381588432526.57
114.39; 444.84; 45.40; 326666.80; 1; -108733972298.14
226.23; 45.79; 28.82; 3838460.59; 3; -1680291241367.50
106.89; 108.62; 50.72; 1427617.61; 5; -89128216308.30
133.56; -425.61; 6.20; 2231866.23; 5; -169824284872.35
78.54; -278.33; 10.14; 617984.08; 4; -19630860624.12
187.67; 448.41; 45.70; 880070.41; 1; -639091004148.78
265.64; -354.74; 12.11; 8822193.42; 5; -2805655456847.81
258.53; 751.88; 70.99; 1670229.46; 1; -2579077917709.89
249.51; -2.19; 24.82; 4669061.45; 3; -2782008825440.46
84.58; 220.41; 35.03; 357262.89; 2; -34340199366.49
126.63; 98.92; 49.91; 2003785.38; 5; -139281204412.02
200.75; 307.49; 67.29; 5036224.73; 5; -1057915739396.49
157.03; -273.53; 18.87; 3083591.20; 5; -330497540428.84
245.90; 269.48; 30.79; 1511422.34; 1; -2304792299162.83
262.94; 203.89; 33.66; 3456408.96; 2; -2552273452574.34
96.88; 257.94; 29.83; 234408.11; 1; -53909721899.94
141.94; 358.03; 46.50; 1006675.41; 2; -273472046060.09
253.21; -119.12; 31.74; 8014803.18; 5; -2595419258237.53
150.51; 521.51; 68.46; 1697435.64; 3; -299098168940.74
204.48; 509.18; 67.43; 3134339.96; 3; -1216604538651.05
243.58; -42.76; 38.10; 7416449.54; 5; -2112157562017.35
92.39; 67.82; 22.32; 426694.92; 2; -48433724584.11
233.78; 630.93; 60.91; 1365718.54; 1; -1585160945079.57
139.18; -260.24; 11.65; 1938048.33; 4; -227762575101.44
151.72; -83.79; 1.35; 575529.62; 1; -359584786900.63
120.11; 309.44; 50.79; 1081077.64; 3; -110641815226.64
221.41; -99.47; 8.38; 2451355.90; 2; -1442694820590.63
203.16; 604.32; 67.03; 2062437.92; 2; 6134249500488.06
238.43; 527.94; 60.66; 2841351.78; 2; -2006998558721.51
255.06; 278.19; 48.18; 4878364.95; 3; -3150029237381.23
256.19; -136.71; 13.61; 4922858.20; 3; -2713209283970.01
163.66; -302.71; 16.44; 3349645.82; 5; -347215712964.99
89.92; 21.46; 35.12; 808400.15; 4; -44355605764.94
78.68; 754.61; 71.22; 153990.15; 1; -22150889009.21
213.23; 282.12; 48.51; 3409307.00; 3; -1478577077904.45
209.26; -414.67; 7.11; 5475940.72; 5; -1202168494164.41
258.60; 384.35; 57.03; 5014570.27; 3; 3998577299667.74
261.26; 246.32; 28.86; 1706153.24; 1; -2544335665823.35
212.35; 480.15; 48.35; 1126864.63; 1; -1327984229150.07
152.44; -238.68; 13.44; 2324662.44; 4; -309261240178.39
148.24; -243.87; 21.34; 2748219.74; 5; -348263115608.70
69.81; 439.37; 44.95; 121411.77; 1; -17789367055.05
201.99; -331.78; 14.02; 5101465.78; 5; 9230769116822.08
269.71; 439.41; 53.28; 3636430.17; 2; -3505714722711.83
77.96; 263.88; 63.66; 758332.87; 5; -23537675058.04
71.54; 8.18; 34.01; 511817.89; 4; -16562023847.64
249.05; 799.31; 74.94; 1549811.68; 1; -2287901997651.13
269.36; 153.02; 46.08; 7255120.23; 4; -3349623291831.95
255.41; 264.72; 63.73; 8153144.24; 5; -2398199782739.77
186.48; 809.31; 75.78; 868537.89; 1; -639135619667.94
158.81; 439.96; 61.66; 1890196.20; 3; -350164830224.48
231.03; 812.31; 76.03; 1333544.76; 1; -1756082951462.72
135.98; 724.20; 77.02; 923098.19; 2; -209470025016.32
101.69; -13.30; 32.22; 1034136.76; 4; -67750741811.71
184.99; 351.29; 45.94; 1710344.92; 2; -793788786821.57
88.60; 672.52; 72.71; 391162.42; 2; -34829204705.53
137.01; -61.00; 3.25; 469329.55; 1; -257628176091.04
158.29; 224.71; 35.39; 1252268.75; 2; -374544521577.38
212.60; -57.02; 11.91; 2260076.36; 2; -1433965306827.72
114.37; 517.15; 76.43; 1305945.19; 4; -114607973714.01
134.73; 100.62; 50.05; 2268472.43; 5; -172244772382.94
159.82; -78.63; 1.78; 638631.13; 1; -394907766396.95
91.98; -183.57; 26.37; 1058361.73; 5; -48590175887.35
180.22; 571.80; 64.32; 1622869.37; 2; -11204088243542.45
156.31; 596.32; 58.03; 610235.61; 1; -345725441252.13
107.79; 317.32; 59.78; 1160610.74; 4; -81602568429.64
219.02; -162.84; 19.76; 4797451.00; 4; -1470501550046.91
178.10; 498.83; 66.57; 2377363.60; 3; -603080306107.14
76.44; 518.84; 68.24; 436700.40; 3; -18991603327.99
101.30; 251.42; 62.62; 1281393.13; 5; -56514271657.06
117.79; -473.81; 2.18; 1736583.07; 5; -120045651508.74
262.89; 68.05; 39.00; 6910582.04; 4; -2736792712182.28
181.69; 142.25; 45.19; 3300506.88; 4; -690769489802.18
132.28; 411.03; 75.92; 2185173.26; 5; -192869485174.79
137.85; 423.22; 51.94; 949255.02; 2; -243751616337.11
211.30; 573.22; 72.77; 3346966.10; 3; -1218238664611.25
134.13; 17.84; 18.15; 899559.60; 2; -197584005368.28
154.59; 537.75; 61.48; 1193778.72; 2; -281151517086.46
265.19; 363.13; 55.26; 5273484.45; 3; -3567868247377.73
128.13; 403.87; 50.32; 820048.01; 2; -183836995983.78
214.24; 511.19; 50.93; 1147002.92; 1; -1364330083957.05
126.78; 539.57; 53.30; 401287.48; 1; -160653140257.67
255.13; 302.99; 33.58; 1626955.49; 1; -2467966801725.46
151.85; 400.25; 50.02; 1152153.37; 2; -349659619810.53
166.89; 221.83; 60.15; 3480360.15; 5; -441839353731.18
175.53; 566.94; 72.25; 2309138.29; 3; -614187878324.62
256.03; 186.80; 48.90; 6554456.67; 4; -2982116519808.60
62.30; 42.29; 20.19; 194010.78; 2; -9753629889.32
63.90; -51.28; 37.39; 510647.69; 5; -9409556652.35
228.62; 325.87; 60.49; 5225629.54; 4; -1680309287334.93
124.77; 318.42; 59.87; 1555493.79; 4; -146529108699.67
191.03; 367.09; 63.92; 3647891.25; 4; -763826880882.71
170.94; -59.64; 28.36; 2922295.75; 4; -528563890580.14
261.85; 229.46; 52.45; 6855434.69; 4; -3274892075721.46
83.37; 285.25; 48.77; 520498.12; 3; -34355416766.11
248.07; 314.33; 59.53; 6152670.39; 4; -2261832586218.35
221.31; -63.62; 36.36; 6122437.72; 5; -1472587484055.13
266.16; 88.95; 32.41; 5312652.73; 3; -3200018003891.66
187.37; 66.74; 47.23; 4388263.14; 5; -865263969545.41
236.25; -89.53; 9.21; 2790952.27; 2; -2130724151044.68
165.52; 381.83; 40.15; 684573.92; 1; -469301910818.11
151.07; 75.21; 22.93; 1140937.40; 2; -323782826046.62
97.80; 275.04; 56.25; 955413.71; 4; -53806705478.65
209.23; -119.30; 6.72; 2189132.12; 2; -1296538600196.12
211.56; 309.00; 59.08; 4474327.71; 4; -1112045732735.04
131.91; 620.97; 60.08; 434398.31; 1; -209275416458.60
98.92; -198.13; 25.16; 1224068.76; 5; -61357257139.74
179.99; 644.18; 78.68; 2427749.97; 3; -688394810344.48
108.53; -477.78; 1.85; 1474710.92; 5; -76594345130.53
93.59; 12.68; 17.72; 437971.60; 2; -50842980491.36
98.49; -201.34; 24.89; 1213617.53; 5; -65307909094.25
200.79; 11.85; 9.32; 1007884.91; 1; -971863117548.97
121.06; 222.57; 51.88; 1464608.84; 4; -133425131621.26
80.12; -141.38; 29.89; 803117.33; 5; -11327080050902.54
153.64; 730.33; 69.19; 589416.10; 1; -334893517082.60
193.43; 79.15; 23.26; 1870580.15; 2; -844633894037.26
171.66; 582.24; 56.85; 736068.10; 1; -595779315424.32
230.57; 0.84; 33.40; 5316244.38; 4; -2021631073980.72
227.62; 529.28; 69.11; 3884253.45; 3; -1523909939630.25
255.18; -349.60; 4.20; 6513312.70; 4; 8033815610042.90
200.01; 621.86; 76.82; 2998321.93; 3; -1000842994797.16
231.39; 631.90; 60.99; 1337890.73; 1; -1750513646496.79
